phonetics,meaning,origin_explanation,ethiopic_word,amharic_meaning
-hā,"possessive suffix pronoun of the 3rd fem. singular ('her, its') used with a noun ending in a vowel","it is also used with expressions of time; e.g. sobe-hā 'afterward', 'ame-ha 'then'; SEMITIC: Ar. -hā, SAr. (Sabaean) -h, Heb. -hā in special occurrences, Aram.-Syr. -āh. For this suffix pronoun in the other Semitic languages, see Brockelmann 1908:311-2; Barth 1913:56ff. ETHIOPIC: Te. -ha, Gaf. -hā. For the other Ethio-pian languages, see Leslau 1956:58.",-ሃ(I),የ3ኛ መደብ አንስታይ ነጠላ ባለቤትነት አገናዛቢ ተውላጠ ስም (የእሷ፣ የሱ/ለነገር) በአናባቢ ለሚያልቁ ስሞች
-hā II,marker of the accusative with proper nouns (e.g. yəhudā-hā 'Judah' [acc.]).,,-ሃ (II),በተጸውዖ ስሞች ላይ የተሳቢነት አመልካች
-he,"'there, here, away to' (e.g. kʷ'əlla-he, ba-kʷ'əlla-he 'everywhere', kʷ'əlla-he [acc] 'in every direction').",,-ሄ,እዚያ፣ እዚህ፣ ወደ
-hi,"'also, and, further, even, the very, for one's part' (e.g. 'ana-hi 'I, for my part'); is attached to mannu, mənt, 'ayte (mannu-hi, mənta-hi, 'ayte-hi), mostly in negative sen-tences; it expresses the indefinite 'no one, noth-ing, nowhere'; it is combined with 'amma- in 'amma-hi 'though, even though'; 'amma...wəla'amma-hi 'either...or'; 'amma-hi...wə'amma-hi 'either...or'; in the meaning 'and' it can be repeated, as in 'ana-hi wəwə'ətu-hi 'both I and he, I and he'; or in -hi...-ni, as in 'əmmuntu-hi wə'əbuhomu-ni 'they as well as their father'.",,-ሂ,እንዲሁም፣ እና፣ በተጨማሪ፣ እንኳን፣ በበኩሉ
-hu I,"possessive suffix pronoun of the 3rd masc. sg. ('his, its') used with a noun ending in a vowel; occasionally used as the definite article;","SEMITIC: Ar. -hu 'his, its', SAr. (Sabaean) -hw, -h, Mh.Soq. -h, -eh, Heb. -hū (occasionally), Aram.-Syr. -h, -eh, Ph.Ug. -h. For more details on this suffix pronoun, see Brockelmann 1908:311-2; Barth 1913:49 ff. ETHIOPIC: Te. -hu, Gaf. -ho; for the contracted form -u in the other Ethiopian languages, see Leslau 1956:58.",-ሁ(I),የ3ኛ መደብ ተባዕታይ ነጠላ ባለቤትነት አገናዛቢ ተውላጠ ስም (የእሱ፣ የሱ/ለነገር) በአናባቢ ለሚያልቁ ስሞች፤ አልፎ አልፎ እንደ መስተአምር ያገለግላል
-hu II,"it serves as an interrogative particle (e.g. ta'ammənu-hu 'do you believe?'); it expresses doubt or uncertainty (see Dillmann 1907:378, 514); it also serves for the reinforce-ment of a conditional sentence (e.g. 'əmma-ssa 'anta-hu 'if it is indeed thou'); see also Dill-mann 1907:550;","SEMITIC: Ar. -hu in the dialects, and occasionally in classical Arabic; see Brockelmann 1913:190, and Landberg 1909:1362 who identifies it with the suffix pronoun of the 3rd masc. singular. ETHIOPIC: also in Cushitic: Sa. -ho, interrogative.",-ሁ (II),እንደ መጠይቃዊ ቅጥያ ያገለግላል፤ ጥርጣሬን ወይም አለመረጋጋትን ይገልጻል
hab,"(masc.sg.), habu (masc.pl.), habā (fem.pl.) 'then!, now then!, well!, come on!';","from wahaba 'give', below; SEMITIC: Ar. hab, hāb, exclamation (see Schulthess, ZA 19 [1905].131; Noeldeke, ZDMG 66 [1912].736-7), Soq. habu, hibo 'let (one do something!)', Heb. hab, hābā 'go on, now then!'.",ሀብ፣ ሁቡ፣ ሀባ,እንግዲያውስ!፣ በል!፣ እንግዲህ!፣ ና!
habo (habo),"'dew'; habawa (T.Y.MA.M) 'become dewy, fall (dew)' (denominative);","SEMITIC: related to Ar. habāba 'dew drops'. ETHIOPIC: Tna. hubo 'dew', Gur. ab°ā, awā.",ሀቦ፣ ህቦ,ጤዛ፤ ማጤዝ፣ ጤዛ መውደቅ
"hababa I (MA; rather than habba given by MA) 'blow, be windy';","'blow, be windy'",SEMITIC: Ar. habba 'blow (wind)'; related to haffa 'blow'. ETHIOPIC: Te. habba (hbb) 'roar (wind)'; Har. ha-bāb bāya 'roar (wind)' also in Cushitic: Bil. habba 'wind'.,ሀበበ (I),መንፈስ፣ ነፋሻማ መሆን
"hababa II (K*DTW 415) 'despise, revile';","'despise, revile'","tahababa (tahababa) 'defame, reproach, revile, slander, (T.M) disparage, grumble'; also 'be insulted, insult one another'. astahababa, mastahababa (T.M) 'grumble, revile, disparage, insult one another'. habābī, māhbabī, māhbāb (K*), part. of tahabba. mastahabāb, act. part. of astahababa. ETHIOPIC: Amh. habhabāb 'mock, deride'. See also hababa I.",ሀበበ (II),መንቃት፣ መዝለፍ፣ መሳደብ
