phonetics,meaning,origin_explanation,ethiopic_word,amharic_meaning
la ∧,"to, toward, for, to the advantage of, with regard to, according to, of (as in bet-u la-nəgus 'the king's house', lit. 'his-house of-(or to) the-king'; for more details, see Dillmann 1907: 391-2; Lambdin 44-5); it indicates purpose: e.g. šannāy la bali 'good to eat'; it serves for the expression of the direct complement (see Dillmann 1907:391); la- prefixed to the jussive expresses a wish, a command or an injunction; e.g. la-yəkun bərhan 'let there be light!'; for la- with the suffix pronouns, see Dillmann 1907:406; see also lita. lalla- (repeated la) expresses the distributive, '(at, for) every, each'; e.g. lalla ba'āl 'at every feast'; with suffix pronouns the base is lalli-, lalla-; e.g. lallāya 'for my part', lallihu 'he himself, he alone', and so on (see Dillmann 1907:344, 374).","SEMITIC and ETHIOPIC: la, li, lə, Te. əl. For this particle in Semitic, see Brockelmann 1913:377ff; in Ethiopic, see Leslau 1956:51, 149. For the expression of the distributive, see Dillmann 1907:373-5.",ለ,ለ
läk (fem. lä∧kt),"'messenger, servant, attend ant, deacon, minister, apostle'",,ለአከ,መልእክተኛ፣ አገልጋይ
"la∧äki, läki",same,,ለአከ,መልእክተኛ፣ አገልጋይ
ləruk'sent,"messenger, apostle, cantor (ecclesias tic) of lower rank'",,ለአከ,መልእክተኛ፣ ሐዋርያ
mal'ak (pl. mal∧äkt),"'messenger, angel, gover nor, prefect, prince, chief, captain, ruler, commander'",,ለአከ,መልአክ፣ አለቃ
mal'akäwi (Gr.37),'angelic',,ለአከ,መልአካዊ
mal(ə)∧äkt,"'letter, message, epistle, duty, busi ness, service, cult, mission, ministry, function, office, legation'",,ለአከ,መልእክት፣ አገልግሎት
(mas(ə)hafa mal(ə)∧äkt,'message'),,ለአከ,የመልእክት መጽሐፍ
talä∧äki,"'servant, minister, deacon'",,ለአከ,አገልጋይ፣ ዲያቆን
talä∧äko(t),"'service, serving'",,ለአከ,አገልግሎት፣ ተልእኮ
la∧afa (yəb'af),"(T) 'take a morsel, gulp, eat avidly'","SEMITIC: Ar. la'afa 'eat becomingly', Soq. ləf 'eat'. ETHIOPIC: Amh. lafä 'swallow without chewing, eat quickly'; also in Cushitic: Som. Af. la'af 'bait', Sa. lä'if.",ለአፈ,ጎረሰ፣ ዋጠ
läf (T),"läf 'food, morsel, bait, (K) soft food'",,ለአፈ,ምግብ፣ ጉርሻ
la∧aka (yəlak),"'send, commission'",,ለአከ,ላከ
talä∧ka,"'be sent, serve (lit. 'be sent'), assist, be employed, minister, administer'",,ለአከ,ተላከ፣ አገለገለ
talä∧aka,"'correspond' (that is, 'send messages to one another')",,ለአከ,ተላላከ
la∧d,(T) 'butter',misprint for lasd,ለዕድ,ቅቤ
la∧ala (yəl'al),"'be high, be superior, be elevated'",,ለዐለ፣ ልዕለ,ከፍ አለ፣ ላቀ
"'al'ala, 'alä'ala","'lift up, raise, elevate, exalt, extol'",,ላዕልዐ፣ ላእልአ,ከፍ አደረገ፣ አነሳ
"talä'ala, talä'ala, talä'ala (T)","talä'ala 'rise, rise up, raise oneself, be raised, be lifted, ascend, be superior, be exalted, be extolled'",,ለዐለ፣ ልዕለ,ከፍ አለ፣ ተነሳ
lababa (MA),"'touch, reach';","SEMITIC: Ar. labaḥa 'mix' (which is done by touch-ing), Aram.-Syr. labaḥ 'lay hold of, hold fast'. ETHIOPIC: Te. labbaḥa 'rub in'.",ለበበ,ነካ፣ ደረሰ
labn,"'storax tree'; (māya labn 'storax', lit. 'water [sap] of the storax tree');","SEMITIC: Ar. labnā 'storax', Sar. lbny, Heb. libnē 'storax tree'. CUSHITIC: Af. lawin, lauwīn.",ልብን,ልብን (የዛፍ ዓይነት)
labna,'kind of tree'; T renders it by Amh. lambāč 'a kind of palm tree'; KG renders it by Amh. lammāč 'a kind of tree whose twigs are used as toothbrushes'.,,ልብኔ,ልብኔ (የዛፍ ዓይነት)
labbunā,see labbaʷa.,,ልቡና,ልቡና፣ ማስተዋል
labsa (yəlbaś),"'clothe oneself, put on clothes, wear'; also 'clothe' (e.g. labsa lə-'adām 'he clothed Adam'); 'əlbasa 'clothe, dress'; tǝlabsa, passive, reflexive; tǝlabäsa 'disguise oneself, put on ostentatious clothes'; 'əstǝlabäsa (Gr.29) 'clothe several persons'; labäsi, act. part. of labsa; läbs (fem. läbsǝt) 'dressed, clothed'; läbs (pl. 'əlbäs, läbsät, 'əlbäsät) 'clothes, gar-ment, apparel, tunic, curtain (of court), silk veil of oblation in the church'; läbsat (n.) 'dressing, clothing'; malbas, malbast (pl. maläläbs) 'clothing, gar-ment, tunic, cover';","SEMITIC: Ar. labisa 'wear, put on a garment', Sar. lbs, Mh. lbes, Heb. läbeš, Aram.-Syr. lǝbeš, Md.Ug. lbs, Akk. labāšu. ETHIOPIC: Te. läbsa 'dress', Tna. gur. läbäsa, Amh.Gaf. läbbäsa, Arg. läbbäsa, Har. läbäsa.",ለብሰ,ለበሰ
lǝbs,"(T) 'body of troops, princes'; the root is perhaps lbs.",,አልባስ,ልብስ፣ ጭፍራ
labəsät,(K.D 1399) 'caldrons';,"from Gk. lebēs 'caldron', with the Geez plural marker -ät. See also balbisät.",ለቤሳት,ድስት፣ ጋን
(valbat),"overlay (with metal, wood), plate, gild, smear (with a coating)'; 'albata, causative; talabja, pass. of labata; also 'welter (in one's blood)'; labati (Gr.35), act. part. of labata; labut (fem. labatt, for labatt) 'overlaid, plated, smeared with a coating'; labtat 'act of overlaying, plating'.","SEMITIC: perhaps related to Ar. laṭa (lwt) 'plaster, overlay with clay', Heb. laṭ (lwt) 'enwrap, envelop' (so also Armbruster 59, Leslau 1958:28), with alter-nance b: w. ETHIOPIC: Te. läbbäṭa 'besmear, cover', Tna.Amh. läbbäṭä 'overlay (with metal, wood, etc)'. See also labada.",ለበጠ,ለበጠ
(Lt),"short, sleeveless tunic worn by monks'","from Gk. lebētōnarion, same; also Amh. labiṭonar. när. See also labiṭonär.",ለቢጦን,አጭር እጅጌ አልባ ቀሚስ
,"'short, sleeveless tunic (worn by monks)'","from Gk. lebētōnarion, same; also Amh. labiṭonar. See labiṭon.",ለቢጦን,አጭር እጅጌ አልባ ቀሚስ
(Lt),same as labiṭonär.,,ለቢጦናር,አጭር እጅጌ አልባ ቀሚስ
,"'possess understanding, under-stand, comprehend, perceive, be clever, be mindful, devise, take heed, beware'; 'alabbawa, caus. of labbabwa; also 'instruct, give understanding, make intelligent (Gr.33) inspire'; talabbawa 'be comprehended, be understood'; labbawō 'intelligence, cleverness, prudence'; labbawi, see labbaw; also 'rational, intelligent, who (that) reasons'; labbaw 'wise, understanding, intelligent, comprehending, prudent, skilled, learned'; (labbäwa 'skillfully'); labbawē 'intelligence, prudence, mind, intel-lect'; labbunā, labbonā 'understanding, comprehen-sion, intelligence, insight, wisdom, reason, rea-soning, prudence, attention, skill, cleverness'; (ba-labbunā 'attentively'); labbunawi 'wise, understanding, attentive'.",,ለበወ,አስተዋለ፣ ተረዳ
(K*),"'intelligence, wisdom, pru-dence'; 'alabbawi, part. of 'alabbawa; malabbaw 'teacher'; also participle of 'alab-bawa;","denominative either directly from labb 'heart' or from a form such as labbawi 'rational'. The denomi-natives formed with final -wa are frequent forma-tions in Geez; cp. gassawa, from gass. For labb, see labbabwa, above. For other denominatives from labb, cp. Tna.Amh. läbbāmā 'be intelligent, be prudent, be perspicacious', Gur. läbbāmā 'economize, be thrifty', from labbam 'intelligent, careful', from labb. Amh. läbbäwā 'be intelligent' is taken from Geez. See also labbabwa.",ልባዊ,አዋቂ፣ አስተዋይ
,see labbaba.,,ለበበ,ነካ፣ ደረሰ
,"'err, be ignorant, blunder, be undecided, be perplexed, offend'; 'albaya 'induce into error, mislead, (T) make disappear'; 'alabbaya (K*), caus. of labbaya; 'astalabbaya, (Gr.492) 'astaläbäya 'consider something as arisen through error and reject it, make disappear, consider to be in error, be reckless, (K*) mislead'; labbuy 'erroneous, arisen through error, reck-less, blamed because of having been in error, (T) lazy';","ETHIOPIC: Reinisch 1887:250 compares Bil.Qua. läb, Kham. lib 'fall, attack'.",ለበየ,ተሳሳተ፣ አጠፋ
(Lt),see walada.,,ልድ፣ ልደት,ልደት
,see lwd.,,ሌፀ,ሌፀ
,see lff.,,ለፈ,ለፈ
,"see fe, and lafaya.",,ለፌ,ለፌ
(Lt),'sides'.,,ሉፊ,ጎኖች
(T),"'first month of the year (maska-ram 'September'), beginning of the dry season'.",,ለፈ፣ ለፈፈ,የመስከረም ወር
(yəlfəf) (T.Y),"'write, roll around, cover'; 'alfafa (T), causative; also 'decree'; lafāf 'scroll, (T) writing'; lafāfā ṣədəq 'Bandlet of Righteousness, Decree of Righteousness', a scroll containing magic names which is buried with the dead in order to enable their entry into heaven; see Euringer, Orientalia 9 (1940).76-99; Löfgren, OS 11 (1962).95-120; E.A. Wallis Budge, The Bandlet of Righteousness [London, 1929], Walker 21, 53);","SEMITIC: Ar. laffa 'wrap up, roll up', PbH. lāqaq 'wrap', Aram. lapap, Syr. lap 'join', Md. lpp, Akk. lapāpu 'wrap'. ETHIOPIC: Te. läffäfa 'roll up, decree', Tna.Amh. läffäfa.",ለፈ፣ ለፈፈ,ጻፈ፣ ጠቀለለ
(D),"'adhere, reach by pursu-ing (T.Y.M) arrive, be near, receive';","SEMITIC: Ar. lafiqa 'obtain' (that is, 'reach thing'). ETHIOPIC: Te. (ta)läfäqa 'be pressed together (that is, 'stick to one another'), Gur. (tä)läfäqä 'be pressed (people in a room), be crammed'.",I ለፈቀ,ተጣበቀ፣ ደረሰ
(K*),"'be stained, be dirty, be smeared with dirt'.",,II ለፈቀ,ቆሸሸ፣ በደፈ
(T),"'be distrustful, doubt';","SEMITIC: perhaps Ar. lafaqa 'embellish (a na-with lies), forge (a story)'.",III ለፈቀ,ተጠራጠረ
